date,sst_anomaly
1950,-0.65
1951,-0.65
1952,0.875
1953,0.15000000000000002
1954,0.8
1955,-0.7250000000000001
1956,-1.4249999999999998
1957,-0.35000000000000003
1958,1.5999999999999999
1959,0.525
1960,-0.025
1961,0.1
1962,-0.22499999999999998
1963,-0.325
1964,1.275
1965,-0.7500000000000001
1966,1.775
1967,-0.25
1968,-0.42500000000000004
1969,0.8250000000000001
1970,0.7000000000000001
1971,-1.025
1972,-0.875
1973,1.95
1974,-1.8499999999999999
1975,-0.625
1976,-1.5750000000000002
1977,0.8
1978,0.75
1979,-0.1
1980,0.55
1981,-0.049999999999999996
1982,-0.1
1983,2.1500000000000004
1984,-0.8250000000000001
1985,-0.9
1986,-0.375
1987,1.1
1988,1.175
1989,-1.7
1990,-0.1
1991,0.375
1992,1.3
1993,-0.125
1994,0.07500000000000001
1995,0.95
1996,-0.975
1997,-0.45
1998,2.325
1999,-1.5
2000,-1.55
2001,-0.6749999999999999
2002,-0.24999999999999997
2003,1.125
2004,0.375
2005,0.6749999999999999
2006,-0.65
2007,0.825
2008,-1.5
2009,-0.625
2010,1.375
2011,-1.5500000000000003
2012,-1.0
2013,-0.05
2014,-0.275
2015,0.575
2016,2.525
2017,-0.575
2018,-0.85
2019,0.8
2020,0.45
2021,-1.175
2022,-0.95
2023,-0.8500000000000001
